symbol,timeframe,sl,tp,rsi_buy,rsi_sell,use_candlestick,win_rate,net_pips,profit_factor,num_trades,rr_ratio
EURUSDm,M30,15.0,4.0,45-65,35-55,True,79.45945945945945,18.0,1.0315789473684212,185,0.26666666666666666
EURUSDm,M15,15.0,5.0,50-70,30-50,True,78.84615384615384,200.0,1.2424242424242424,260,0.3333333333333333
EURUSDm,M15,15.0,4.0,45-60,40-55,False,78.80952380952381,-11.0,0.9917602996254682,420,0.26666666666666666
EURUSDm,M15,12.0,4.0,50-70,30-50,True,78.75457875457876,164.0,1.235632183908046,273,0.3333333333333333
EURUSDm,M30,12.0,4.0,40-60,40-60,True,78.61271676300578,100.0,1.2252252252252251,173,0.3333333333333333
EURUSDm,M15,15.0,6.0,45-60,40-55,True,78.53403141361257,285.0,1.4634146341463414,191,0.4
EURUSDm,M15,15.0,6.0,40-60,40-60,True,78.50467289719626,318.0,1.4608695652173913,214,0.4
EURUSDm,M15,15.0,4.0,45-65,35-55,False,78.4786641929499,-48.0,0.9724137931034482,539,0.26666666666666666
EURUSDm,M30,15.0,5.0,45-60,40-55,True,78.43137254901961,105.0,1.2121212121212122,153,0.3333333333333333
EURUSDm,M30,15.0,4.0,45-65,35-55,False,78.43137254901961,-35.0,0.9696969696969697,357,0.26666666666666666
EURUSDm,M15,15.0,4.0,50-70,30-50,False,78.13688212927757,-81.0,0.9530434782608695,526,0.26666666666666666
EURUSDm,M15,15.0,4.0,40-60,40-60,False,78.09110629067246,-75.0,0.9504950495049505,461,0.26666666666666666
EURUSDm,M30,15.0,5.0,50-70,30-50,True,78.08988764044943,110.0,1.188034188034188,178,0.3333333333333333
EURUSDm,M15,12.0,5.0,45-60,40-55,True,77.94117647058823,255.0,1.4722222222222223,204,0.4166666666666667
EURUSDm,M30,15.0,5.0,45-60,40-55,False,77.85714285714286,160.0,1.1720430107526882,280,0.3333333333333333
EURUSDm,M15,12.0,5.0,40-60,40-60,True,77.5330396475771,268.0,1.4379084967320261,227,0.4166666666666667
EURUSDm,M30,12.0,4.0,50-70,30-50,True,77.34806629834254,68.0,1.1382113821138211,181,0.3333333333333333
EURUSDm,M30,15.0,5.0,45-65,35-55,True,77.17391304347827,80.0,1.126984126984127,184,0.3333333333333333
EURUSDm,M15,15.0,5.0,45-60,40-55,False,77.02020202020202,160.0,1.1172161172161172,396,0.3333333333333333
EURUSDm,M30,15.0,5.0,50-70,30-50,False,76.96969696969697,130.0,1.1140350877192982,330,0.3333333333333333
EURUSDm,M15,15.0,5.0,45-65,35-55,False,76.8,180.0,1.103448275862069,500,0.3333333333333333
