timeframe,sl,tp,rr_ratio,rsi_buy,rsi_sell,use_candlestick,win_rate,num_trades,final_balance,net_roi,max_drawdown
M15,6.0,18.0,3.0,40-60,40-60,True,27.876106194690266,226,625.5353827908891,25.10707655817782,18.547662625355564
M15,10.0,15.0,1.5,40-60,40-60,True,44.6078431372549,204,622.5250595960777,24.50501191921553,12.47719903442662
M15,8.0,20.0,2.5,40-60,40-60,True,31.9047619047619,210,621.3006572467326,24.260131449346524,17.218352903823693
M30,15.0,37.5,2.5,45-60,40-55,True,34.18803418803419,117,619.2052130927036,23.841042618540722,8.648275251635901
M15,10.0,20.0,2.0,30-70,30-70,False,35.18123667377399,469,618.1551655144614,23.631033102892275,22.108343833935695
M15,8.0,16.0,2.0,30-70,30-70,True,35.8974358974359,312,615.50014727041,23.100029454082005,18.840665567783475
M30,8.0,24.0,3.0,45-60,40-55,True,29.078014184397162,141,614.9158351184968,22.983167023699366,13.330965531618286
M30,12.0,30.0,2.5,30-70,30-70,False,30.952380952380953,294,614.8741826900637,22.97483653801273,21.207236553312274
M15,15.0,22.5,1.5,40-60,40-60,True,44.80874316939891,183,614.2428687861263,22.848573757225267,8.716541097322658
M30,12.0,24.0,2.0,45-60,40-55,True,38.80597014925373,134,614.1364764745806,22.82729529491612,8.974414132523222
M15,12.0,30.0,2.5,40-60,40-60,False,30.844155844155846,308,613.809584884721,22.761916976944192,17.361681673029263
M30,12.0,24.0,2.0,40-60,40-60,True,38.35616438356164,146,613.4047529562731,22.68095059125462,8.72991935878273
M15,10.0,15.0,1.5,30-70,30-70,False,41.89723320158103,506,611.671397527422,22.334279505484393,21.580523924930873
M30,12.0,24.0,2.0,30-70,30-70,True,37.0,200,610.122770967905,22.024554193581004,14.198988720485461
M15,6.0,18.0,3.0,45-60,40-55,True,27.80487804878049,205,609.1168491752514,21.823369835050286,13.484806422666457
M15,12.0,21.6,1.8,30-70,30-70,True,38.66171003717472,269,608.9000714400188,21.780014288003755,13.321598902541668
M15,12.0,18.0,1.5,40-60,40-60,True,44.329896907216494,194,607.6460152812165,21.529203056243297,9.123167192740292
M15,6.0,12.0,2.0,30-70,30-70,False,34.6749226006192,646,607.3801565522909,21.47603131045819,25.222173388875813
M15,8.0,20.0,2.5,45-60,40-55,False,30.508474576271187,354,607.3028757650843,21.460575153016862,20.003508628978814
M30,15.0,37.5,2.5,30-70,30-70,True,32.16374269005848,171,605.9896046543504,21.197920930870076,9.043179593989622
M15,8.0,24.0,3.0,40-60,40-60,False,26.649076517150394,379,605.4995123012092,21.099902460241832,23.587550835162805
M30,10.0,25.0,2.5,40-60,40-60,True,32.467532467532465,154,604.2595348943128,20.85190697886255,11.438280745101165
M15,6.0,9.0,1.5,40-60,40-60,False,41.875,480,603.7592383950101,20.751847679002026,16.552111517010847
M30,15.0,30.0,2.0,40-60,40-60,False,36.71497584541063,207,603.6616000579712,20.732320011594243,8.675498065610956
M15,12.0,30.0,2.5,45-60,40-55,False,30.79584775086505,289,603.1605710524788,20.632114210495754,17.36168167302925
M30,12.0,30.0,2.5,45-60,40-55,True,33.07692307692307,130,603.0566990327804,20.61133980655609,8.648275251635908
M15,6.0,12.0,2.0,45-60,40-55,False,35.16746411483253,418,603.0217674474017,20.60435348948033,24.444326216157602
M15,6.0,12.0,2.0,40-60,40-60,True,36.40350877192983,228,602.4034871601496,20.48069743202991,20.004011766494198
M30,15.0,37.5,2.5,40-60,40-60,True,33.07086614173229,127,600.2938466037862,20.058769320757232,8.648275251635905
M15,8.0,16.0,2.0,45-60,40-55,False,35.342465753424655,365,600.202896090087,20.04057921801741,16.679822689544537
