timeframe,sl,tp,grid_step,multiplier,max_legs,target_profit,rsi_buy,rsi_sell,use_candlestick,win_rate,num_baskets,final_balance,net_roi,max_drawdown
M15,15.0,15.0,15.0,2.0,4,2.0,45-60,40-55,True,53.179190751445084,173,516.3731659438379,3.274633188767575,2.390764682546838
M15,15.0,15.0,20.0,1.5,3,2.0,45-60,40-55,True,53.179190751445084,173,516.3731659438379,3.274633188767575,2.390764682546838
M15,15.0,15.0,15.0,1.5,4,4.0,45-60,40-55,True,53.179190751445084,173,516.3731659438379,3.274633188767575,2.390764682546838
M15,15.0,15.0,20.0,1.5,3,4.0,45-60,40-55,True,53.179190751445084,173,516.3731659438379,3.274633188767575,2.390764682546838
M15,15.0,15.0,20.0,2.0,4,4.0,45-60,40-55,True,53.179190751445084,173,516.3731659438379,3.274633188767575,2.390764682546838
M15,15.0,15.0,15.0,1.5,3,4.0,45-60,40-55,True,53.179190751445084,173,516.3731659438379,3.274633188767575,2.390764682546838
M15,15.0,15.0,15.0,2.0,4,4.0,45-60,40-55,True,53.179190751445084,173,516.3731659438379,3.274633188767575,2.390764682546838
M15,15.0,15.0,20.0,2.0,4,2.0,45-60,40-55,True,53.179190751445084,173,516.3731659438379,3.274633188767575,2.390764682546838
M15,15.0,15.0,20.0,2.0,3,4.0,45-60,40-55,True,53.179190751445084,173,516.3731659438379,3.274633188767575,2.390764682546838
M15,15.0,15.0,20.0,1.5,4,2.0,45-60,40-55,True,53.179190751445084,173,516.3731659438379,3.274633188767575,2.390764682546838
M15,20.0,20.0,10.0,1.5,3,2.0,45-60,40-55,True,84.24242424242424,165,514.9291737518262,2.985834750365234,6.179707428944113
H1,30.0,15.0,10.0,2.0,4,4.0,30-70,30-70,False,91.61676646706587,167,514.5598401893152,2.9119680378630393,24.272738329235395
H1,15.0,20.0,10.0,2.0,3,2.0,30-70,30-70,False,52.406417112299465,187,514.1706895377572,2.8341379075514395,3.336253972834352
H1,15.0,20.0,10.0,2.0,4,2.0,30-70,30-70,False,52.406417112299465,187,514.1706895377572,2.8341379075514395,3.336253972834352
M30,15.0,20.0,10.0,2.0,3,2.0,45-60,40-55,True,60.60606060606061,132,513.9018889423414,2.780377788468286,3.1760058286055077
M30,20.0,20.0,10.0,1.5,3,2.0,45-60,40-55,True,76.74418604651163,129,513.8938950916933,2.7787790183386503,4.523332543186089
M15,20.0,15.0,20.0,2.0,4,2.0,45-60,40-55,True,59.62732919254658,161,513.7082871623742,2.741657432474835,2.8772697575815154
M15,20.0,15.0,20.0,2.0,3,4.0,45-60,40-55,True,59.62732919254658,161,513.7082871623742,2.741657432474835,2.8772697575815154
M15,20.0,15.0,20.0,2.0,3,2.0,45-60,40-55,True,59.62732919254658,161,513.7082871623742,2.741657432474835,2.8772697575815154
M15,20.0,15.0,20.0,2.0,4,4.0,45-60,40-55,True,59.62732919254658,161,513.7082871623742,2.741657432474835,2.8772697575815154
M15,20.0,15.0,20.0,1.5,4,2.0,45-60,40-55,True,59.62732919254658,161,513.7082871623742,2.741657432474835,2.8772697575815154
M15,20.0,15.0,20.0,1.5,3,4.0,45-60,40-55,True,59.62732919254658,161,513.7082871623742,2.741657432474835,2.8772697575815154
M15,20.0,15.0,20.0,1.5,3,2.0,45-60,40-55,True,59.62732919254658,161,513.7082871623742,2.741657432474835,2.8772697575815154
M15,20.0,15.0,20.0,1.5,4,4.0,45-60,40-55,True,59.62732919254658,161,513.7082871623742,2.741657432474835,2.8772697575815154
M15,30.0,15.0,15.0,2.0,4,4.0,45-60,40-55,True,94.375,160,513.5279467964795,2.705589359295891,22.336703189455072
